,댓글,예측,실제
9382,사면할 놈이 벌써 박대통령 4년이나 잡아 두고 있냐,0,1
9384,그건 울나라 좌파언론들의 오역이다행복회로 돌리는거지아마 중공 시진핑도 몰랐거다,0,1
9396,요것 봐바,1,0
9405,유희열하고 이적도 좌파였노,0,1
9408,맞는말이다 이런게이들을 왜 홍어몰이 하는거냐제발 확실한 증거만 믿어라,1,0
9409,전라도 망하면 나라가 산다,0,1
9412,노르웨이에 갔을 때 부페에 삭힌 연어가 있는 걸 본적이 있음유리덮개가 있어서 열고 가져가는 건데 냄새 맡아보면 삭힌 홍어랑 99 같은 냄새남이 밖에도 홍어처럼 삭힌 음식은 여러 나라에 존재함뭐 다 하나같이 미개한 음식이라고 말할 수도 있겠지만솔직히 전라도 홍어만 특별히 괴랄한 음식인 것은 아님,1,0
9414,통레발이라서 바이든이야 송장새끼야,1,0
9416,아니 안놀면 죽냐,0,1
9422,포스텍 졸업하고 두번 다시 포항이라는 곳 근처에도 얼씬도 하기 싫다 너네들이 알고 있는거 광고 때리는 거랑 무지 다르다 내주위 선후배 동기들 나 같은사람 한두명이 아님 존나 비추임 질문받는다,0,1
9443,오리보지 잘못쳣다하면 되겟당,0,1
9457,최국 무적권 빤다이기,0,1
9460,미국 응디 잡고 야 바짓가랑이 붙잡고 야이런식으로 비판하다가갑자기 가사가 딱좋다 이렇게 변하노 ㅋㅋㅋㅋ진짜 가사 개웃기네,0,1
9465,타인에게는 그 누구보다 엄격한 우리의 배충쿤ㅋㅋ아니 검은머리 짐승이니 은혜를 베풀었니 이런 소릴 하는 이유가 동계올림픽 후원했다고 그러는거냐ㅋㅋ진짜 니가 그렇게 생각하고 분노하면 여기서 여포짓 하지말고 김연아한테 dm보내보지 그러냐 삼성이 동계올림픽 후원했는데 왜 이건희 추모안하냐고그리고 김연아가 3류 선수였을때나 변변찮은 훈련 못받았을때 키워주고 이끌어주는 그런게 은혜지 동계올림픽 후원했다고 검은 머리 짐승운운하는건 진심 뭐냐ㅋㅋㅋㅋ그리고 후원한게 삼성만 있는것도 아닌데 SK 기아자동차 같은 기업들 경조사 있을때마다 글써줘야하냐 억까짓좀 고만해라 진짜,0,1
9466,아오 콱 그냥,0,1
9496,단원고 유가족님들이 다음에 낼 책 제목화무십일홍 어떤가요,0,1
9499,익명 지가 무엇을 듣고 어떻게 평가하는 자유지 그런데 대중음악은 말그대로 대중들의 사랑을 받기때문에 검증되었고 듣기에 부담없는음악이니 좋다는거지 즉 취향에 관계없이 듣기에 부담없는게 대중음악아니겠 우리의 노짱 음악처럼 말이다 이기야,1,0
9518,너 공부 못했지 ㅋㅋ 사전에 부정선거를 검거한다정정 당당히 투표에서 이길수도 질수도 즉 재선 성공할 수도 실패할 수도 있다 그렇다면 사후에 부정선거를 터트린다정정 당당히 투표하는 결과와 상관없이 재선 후자가 훨씬 유리한데,0,1
9530,평화로운 함진하우스ㅋ,1,0
9544,나더 순대굳빱먹으러가서 컵라면들고 서민코스프레함해봐야지,1,0
9550,소방게이는 ㄷㅇㅂ,0,1
9583,ㅇㅇ 이병철 정주영 이런 재벌1세들은 진짜 말그대로 무에서 유를 창조한 사람들이라 존나 개간지나는거 같다그 사람들이 어떻게 경영했고 그게 도덕적인 방법이고 아니고를 차치하더라도 남들과 독같은 일반인에서 대한민국에 제일가는 기업으로 키웠다는게 존나 멋있음재벌2세나 3세들은 솔까 아랫사람들만 존나 닥달하면 되는거고 진짜는 창업주들이지,0,1
9584,ㅇㅇ 프라이빗적으로 정직하고 매너있고 배려심있음사상적으로는 좌파인건 뭐 답이 없네그시대 출신들 많이 그런듯,0,1
9592,진짜 어떻게 문재인이 뽑은 애들은 단 한 명의 예외도 없이 전부 다 저런 인간들이야 ㅋㅋㅋ,0,1
9613,거실 소파 가죽 재질이면 개꿀잼,1,0
9622,저사진을 오원춘이 올린거라고,0,1
9635,네 다음 27억 어쩌고 10억이하 어쩌고 재산세 어쩌고 공시가 아닌 공시지가 어쩌고 지혼자 풀발기 됐지만 상대 인증 원하면 자기 패부터 까는걸 모르는 구축빌라 아니면 반지층 원룸 거주 e300님,0,1
9647,넌 일베에서 허구언날 털리면서왜 개차반 찌질이처럼 일베에 붙어있노,0,1
9648,와 진짜 ㅈㄴ 잘한다 미쳤다,1,0
9664,재워주고 맥여주는것 만으로도 감사해 해야지 뭐 사회 나가서 범죄밖에 더 저질러 협박하냐 이래서 죄인이라는거야 밖에 실업자들이 얼마나 많은데 염병하는소리 하고 자빠졌다,1,0
9683,운지절에 골프는 안되지,0,1
9687,애초에 수험생이 일베따위나 쳐하고있는데 정상적인 대학을 가겠냐 서울대 갈새끼들은 지들 일베하면서 히히덕 거릴때 영어단어 한개를 더외우고 있을텐데,1,0
9746,모지리말도 들을 가치는 있어요 너도 모지리쟎아요 말이란 아 다르고 어 다르다고 했어요 할머니말씀 약이다보람 있는 하루 만들어요,0,1
9810,애플 쓰는 저능아들 수준에 맞는 말장난,0,1
9838,슈퍼스타 일게이TOP3 안에 들겠다,0,1
9844,여기 뿐만이 아님다른 커뮤도점점 짱개들 잠식하는중개드립은 짱개 라는 말을혐오표현 이라고 금지 시키는중ㅋㅋ,0,1
9849,두더지움 18 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ기안저런 소소한 깨알유우머가 재밌음,0,1
9874,염병하네 ㅋㅋ 세상에 법만 있는게 아니라는건 문재인을 보면 알 수가 있지한국같이 힘없고 다 망가진 야당을 상대로 한게 아니고 살아있는 권력 트럼프랑 여당인 공화당을 상대로 한거야이걸 그냥 넘겨 왜 본보기를 보여줘야지 사기를 치면 어떻게 되는지 ㅉㅉ 저 사람들이 너 같이 물렀으면 정치 못했지,0,1
9886,추방 가능성같은 사실 확인이 안된 것은 입에 올리지 마라그를 빌미로 본말을 전도하는 것이 바로 좌파들 특성이다좌파에 토론할때는 절대 시작한 본론에서 벗어나려는 것에 넘어가지 말고범위내에서 팩트로만 조져야 결국 욕아나 싸지르며 물러난다,0,1
9890,꿈인지 현실인지 노무현인지 고무현인지,0,1
9910,반도 인구는많고 땅이 너무좁다이기,0,1
9938,이럴 정신있음 애나 더 돌보지 ㅁㅈㅎ,0,1
9953,초반에 실컷 욕하던 놈들이 이제와서 착한행세야ㅋㅋㅋㅋ,1,0
9961,아무도 상대 안해주는 시점에서 눈치 까 늙은년아,1,0
9965,너는 한녀가 니한테 아무 증거도 없이 일관된 진술만으로 감옥 보내도 ㅇㅋ라고 함,1,0
9975,아니 남자새끼가 팼는데 왜 계속 엄마만 찾냐 댓글은 ㅋㅋㅋㅋㅋ,1,0
9981,대가리가 더깨져야함,1,0
9988,걍 쥐박이 자체가 존나게 얍삽하고 기회주의자임 좌빨한테 부역해서 탄핵가담하고 자기는 대대손손 잘살줄알았으나 뒤통수 ㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
9993,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 총선전엔 존나 뿌리더만 이젠 거두노 ㅋㅋㅋㅋㅋㅋㅋㅋ 역시 뿌린대로 거두는게 이치제잉ㅋㅋㅋㅋ,1,0
10003,쳐 발린것가지고 ㅋㅋㅋ 부끄러운 역사는 잊어버려 걍,0,1
10018,물 부족한거 맞음 처먹고 씻는물만 풍부하지 농업 공업 축산용수는 부족함,0,1
10019,상대를 잘못 고른거지 bts 자덜은 미국을 상대로 영업해서 지금 수익을 올리는데 재네들이 한미동맹을 언급한건 미국을 언급한건데 자기들이 미국을 건드린건지를 모르고 깝치다 시껍해서 짱개 공산당이 다 지운거임,0,1
10022,봐이쓰쁘레지던텁 어매리카쓰때이ㅌ 는 뭔소리냐,1,0
10028,너 누가 북괴욕 쓰래,1,0
10030,어우 씹ㅋㅋ,0,1
10045,거인은 생식기가 없고 모두 남성형 신체를 갖고있다는 설정이라 7대 거인 중 하나인 여성형거인을 제하면 전부 남성형인데도 불구하고 검열때리네사스가 유사국가 수준,1,0
10053,이나영 미친 존나 좋아 미친거 아니냐고 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,1,0
10054,성소가 그 젖통 오졌던 걔 맞지,0,1
10061,씨발 무슨 바이든 선거캠프 알바가 무슨 아무 관련도 없는 싸우스 코리아에서 설치겠노ㅋㅋㅋㅋㅋㅋㅋ,1,0
10074,요새 걱정많은 다은이랑 샌드위치싸들고 노을보러 가야하남,1,0
10077,물위에 애플스토어 거기다가,1,0
10084,이런걸 페북에 올려 빙신들아,1,0
10096,공정 지나가는똥개가다웃는다,1,0
10102,정신과 의사들이 제일 답 없어 하는 부류임편집증 망상장애치료 자체가 불가능ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,0,1
10112,야 최국 쟤 남희석 빠는 애야 ㅋㅋㅋ 우파 코인으로 사이버품바질 하는 놈을 빠네 ㅋㅋㅋㅋㅋㅋㅋ,1,0
10131,이게 황제라면이지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ세월호 라면이 황제라면이냐 ㅋㅋㅋㅋ,0,1
10172,저기요 수급자들 이미 지역화폐 받았는데 왜 또 줘요 이동네 수급자 천진데 반이상이 가짠데 진짜 인생 날로들 먹더라 공식 비공식 코로나 지원금에 지역화폨ㅋㅋㅋㅋ 여기에 정부꺼 지자체꺼 이중삼중 지원을 하시겠닼ㅋㅋㅋㅋ 백번 양보해도 중복지원은 하지말라구ㅡㅡ 당신들 지갑이 아니라고 왜 남에돈으로 니네가 생색을내 너넨 다 도둑이야 도둑 재벌만 까지마 이대로 가면 다 망한다,0,1
10176,딸랑딸랑 정권바뀌면 모가지 아 그땐다른데 딸랑딸람,0,1
10179,서든 신스킨인가,1,0
10185,면빨은 진라면국물은 신라면같은 값이면 신라면,1,0
10194,httpsmilbecomview11300212628미제 노숙자들도 삼시세끼는 잘챙겨먹을텐데모범보이려고 음식쓰레기나 아가리에 쳐넣고 먹는 불쌍한 시진핑과 당간부들ㅋㅋㅋㅋ,0,1
10196,신라면 개느끼해지고 개 맛없어짐 90년대 신라면이 그립다,0,1
10224,내가 전라도 어떤 지역인지 몰랐거든지역감정 이런건 모르고 살았다이번 민주당을 보면서 사람들이 왜전라도 욕하는 지 이해가더라,0,1
10226,준기야 어디야 왜 자살해 끝까지 함께해야지,1,0
10233,저거이 보니까 막판에 쪽바리들이 박통이랑 남조선 무자게 까던데,0,1
10234,좌파는 예로부터 강한힘으로 조져야된다약하게 나오면 통수친다,0,1
10279,ㅁㅊㄴ 제대로 알고나 말해라,0,1
10283,미국인이였으면 이쁜애들이랑 수영장있는 집에서 파티하면서 와인땡기며 선거 즐기고 있을텐테 ㅅㅂ 이게 뭐냐 미국상황 알지도못하고,1,0
10304,게이멋지네 수염존나간지나게나네 한국애중에 일케나는애들은남성호르몬많아서 상남자같이생기고 산적형 와꾸던데그른산적형애들보면 일단 아우라자체가 있더라 함부로 대하지못하겠는머리털만 좀 나면 바버샵다니면서 살믄 다욧전후 둘다 느낌 ㅆㅅㅌㅊ일텐데 머리털이좀아쉽네,0,1
10318,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 그게 되겠냐 존나 웃기네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
10343,공무원들 진짜 떠넘기는거 존나 심해특히 경찰뭐하면 이건 민사네 이건 관할아니라하고어디가면 이건 저기다 저기가면 이건 여기다,1,0
10346,이재용같은 선한 사람이 어떻게 사악한 마귀 팀쿡을 이길수 있을까 ㅠ,0,1
10358,여자들이좋아하는 성평등,0,1
10366,나중에 못주겟다고 하니깐 노숙자가 깔빵 놓고 뒤지는걸로 해피엔딩 햇으면 좋겟노ㅋ,0,1
10373,말 같은 소리해라,0,1
10400,쓰레기좀 치우자,1,0
10405,저새끼 전향한거 아님북한 노동당 빨다가 짱개로 붙은거임,1,0
10419,지우지마 이기,0,1
10421,사기의 민족 사기꾼 단체,0,1
10440,주작이지근고 실제 벙신들이 3 0쯤으 되는거 같더라,0,1
10453,전쟁통에 안 간다 그거 개소리임1938년부터 시행된 조선 육군특별지원병 제도에1943년까지 총 80여만 명의 조선인이 지원하여총 17000여명의 조선인 지원병이 합격했음전쟁통에 안 가려고 했다는건 헛소리임많은 조선인 청년들이 지원병 제도를 통해 출세의 기회를 잡아보려고 한게 역사적 팩트임,0,1
10457,난 에반게리온으로 입덕했다 몰라도라는 경솔한 발언은 미안하게 생각한다 크흡ㅠ 폭도새끼들하고 키배뜨는게 귀찮아서 그만근데 시발 아즈사 왜이리 싫어하냐 ㅁㅈㅎ,1,0
10462,김정은이 기라면 길판인데,0,1
10470,내가 대통령 했어야해는데좌파새기들 다 잡아조지게,0,1
10545,와 딱소리 기계음이놐ㅋ,1,0
10550,설칠수있을때 계속 설쳐놔라,0,1
10551,키큰애들이 구멍이 좀 큰 경우가 있음 확률적으로 키큰여자가 구멍이 큰 경우가 많음 그래도 키큰여자가 시각적으로 만족도가 좋아서 나는 키작녀보다 키큰녀가 떡감 만족도가 좋더라,0,1
10554,형 나죽어 으악,1,0
10557,한국은 일본한테 식민배상만 요구하면되는데 싸우지도 않았는데 전범기 운운하는게 말이 안대,0,1
10558,공공의대비리들통날까봐 조마조마하시겠어요,1,0
10586,벌 달게 받고 갱생돼라,1,0
10640,국민연금공단을 주무르는 전라도 아저씨들처럼 소름돋노ㄷㄷㄷ,0,1
10642,니가한말은 그래서 증거은 증언밖에없다 이건데 ㅋㅋ 판검사가 호구로보임 그딴걸로 형이나오게 이명박 변호사는 정게서 골리서왔냐 그딴걸로 형받게 냅둔다고 ㅋㅋㅋ,0,1
10645,장애인주차장은 중증장애인위주로 내줘야하는거아니냐 거동 전혀 불편함없어보이는 장애인도 존나 많드만 무슨 특권층도아니고,1,0
10651,이기 돌앗나,0,1
10655,니말을 모르는 바는 아님 연좌제 당연히 합리적인 해결법이 아니지 근데 마닷이 이렇게까지 미움털 박힌거는 마닷 본인이 했던 처신 탓이 큼말이란게 아다르고 어다른 법이다 혹여 본인과 관계 없고 잘못이 아니라 하더라도 그 상황에서 그 사람들한테 본인은 관계없으니 꺼지라고 추후에는 고소드립까지 쳤는데 그걸 가만두겠냐 하물며 왜곡된 선민의식과 위선에 찌든 이 대한민국에서 이미 저렇게 선넘은 순간 마닷은 사기꾼 부모의 자식이라는 타이틀보다 하나의 적반하장의 개쓰레기로써 욕먹게되는거,0,1
10659,써글룐 불끄니까 안보이는거 보소,0,1
10676,긴즈버그 이번에 노짱따라간 미국 대법원장 페미 끝판왕,1,0
10685,이래도 병역거부운동 하나못일으킴 ㅋㅋ,1,0
10688,내기골프 문제는 전 혀 차태현잘못 없다고생각하는데 개인적으로 차태현 어깨탈골로 군대면제받은거 좀 많이 이해가 가질않아,0,1
10697,재앙아 더 조져놔라 개한민국에는 니가 딱이다 집값도 더올리고 보유세는 1억씩 물려보자 더 조져라 재앙이 파이팅,0,1
10722,나도 너와 같은 생각자발적으로 간 년억지로 끌려 가신 분속아서 가신 분속아서 가신 분은 속은 놈들에게 피해를 물어야 하니 진실 규명이 필요하고억지로 끌려 가신 분과 자발적으로 간 년들을 구분 해야하니 진실 규명이 필요하지만 지금 뭐가 남아 있을까어차피 승자로 작성되는게 역사인데 너무 감정팔이 할 필요도 너무 일방적으로 몰아가는 것도 옳지 않긴 함결론 지금와선 답이없다,0,1
10724,우리동네도 저련년 있었는데생각보다 많은듯,0,1
10726,주인이 하겠다면 뭐 어쩔건데 존나 씹선비 공산주의 노예마인드일세 ㅋㅋㅋ 펜션주인이 피해자가족 생각해주면 피해자가족이 펜션매입해주냐,1,0
10734,꾹 참고 스크롤 내리는데 이새끼 때문에 터졌다 ㅋㅋㅋㅋㅋ,1,0
10742,진짜 싫다 말투,0,1
10754,방구석 싸움전문가는 여물어,0,1
10757,혜민이는 모르겠는데 동네 땡중들 밤에 가발쓰고 유흥하러 다니눈거 유명함,0,1
10770,고대랑 성대급이다른데 왜 합치노 ㅋㅋㅋ그리고 저때 성대는 지금보다 ㅎㅌㅊ인데이건희가 아니라 빌게이츠가 와서 투자해도 ㅈ까라함 ㅋㅋㅋ550억이아니라 10조를 쑤셔도 어차피 지들끼리 룸빵가고 말텐데,0,1
10775,이런새끼들 북한으로 보내고싶다아니 이미살고있나,1,0
10820,그러게 왜 높은층에 사노 높은층에사면 정말 쓰레기 버리는것도 맨날 일이다,1,0
10821,그런 인간들은 인간성 개조도 힘들다그냥 능지처참만이 답이다,0,1
10826,그냥 봤을때 목두껍고 손두꺼운 사람하고는 싸우면안됨 그럼사람들 특징이 무게중심이 존나 낮고 코어가 개두꺼움,1,0
10829,노망난 좌좀 늙은이 김종인 축출시키고 홍준표 영입해서 당명도 자유의 공화당으로 이름 바꾸고 보수우익 시장경제 자유지향 이념으로 당을 재건해라,0,1
10843,그게 왜 그리 궁금하노 게이야,0,1
10863,박멸폐렴 수수방관으로 인해 국민은죽어요 경찰의 고소장 손괴를 뇌물수수도 300만원 허위의 수사기록도 계속 재탕으로 이어지고 있습니다 부패국가로 불량국가 인간쓰레기네살수가 없어 부패국가로 방치하면 저질국가로 이병재올림 010 4720 6279 수수방관으로 인해 국민은죽어요,0,1
10869,결국 죽었네 이제 만족해,0,1
10880,헐어케했노 ㅆ불려나 ㅇㅂ,0,1
10893,넌참말이 싸가지가 없더라,0,1
10910,마이너쪽으로 가닥을 잡은듯 하더라나야 어릴때 헤비메탈 듣고 자란 세대라 거부감은 덜하지만 촌스럽단 생각은 확실하게 든다기왕 80년대 메탈을 표방한다면 아예 미국본토를 지향하는게 덜 촌시런데 이 밴드는 일본애들 2류급도 안되는 수준이니ㅆㅂ 라우드니스는 나이먹고도 존나 잘하던데,1,0
10911,스엠 꼴 날라고 난리넼ㅋㄱㅋㄱㄱㅋㅋㅋㄱㄱㄱㅋㄱㄱㄱㄱㄱㅋㄱㄱㄱㄱㄱ,1,0
10921,좌파들 생각,0,1
10943,역시 슬기 내 눈이 정확햇음 아이린년은 첨부터 정이 안가는 관상이더니 역쉬나,0,1
10966,조선인은 주제파악 할것,0,1
10971,김무성 저번에 보니까 부정선거 쪽에 있는 것 같은데미통당 대표하는 놈도 김무성 따까리여서 시늉만 쳐내는 것 같고바른미래당 유승민 하태경 이준석 얘네는 완전 철판깔고 부정선거 비호했고부산 사하구에 바른미래당 출신의원 그 양반은 일말의 양심이라도 있는지 좀 사리더라 ㅋㅋ,0,1
10974,존나 오그라든다,1,0
10975,이 년최근 면상도 저렇게 페미단발하나아님 머리 길렀냐페미연들 눈치볼려면 평생 페미단발 저렇게 하고 댕겨야 하냐,0,1
10992,근데 그렇게 따지면 안정적인 직업은 공무원밖에 없음 중소기업도 10년이상 가는곳 드뭄 팩트는 유튜브 대박도 아니고 중박만 터져도 2년안에 좆소 10년치 월급 한방에 버는거 씹가능,1,0
11010,우와 진짜 잘큰 AP티모잼 오,1,0
11022,노 자위든 ㅇㅂ,0,1
11031,얘 노래를 들어보니MC무현이 정말 노래 잘부르는듯한 기분이 든다,0,1
11036,진짜 죽이고싶다 정말로,0,1
11052,미국 백인 남자들은 타고난 피지컬과 유연함까지 갖춰서 존나 쎔거기에 어릴때부터 존나 터프하게 자라도록 교육받아서 투쟁심도 장난 아니더라일반인들 끼리 싸우면 흑인은 백인의 상대가 안됨 흑인은 극단적이기만 할뿐 멘탈이 약하니깐,1,0
11053,근데 피해자 저 여자 x같은게저기서 끝내면 될걸 공중화장실도 무서워 못가겠다이런 꼴페미스런 발언을 했더라거기다 그 성별이 잘하는 짓거리인 공론화 까지하기 위해 mbc에 제보까지 해서저렇게 기사화 된거다100 메갈충 여성시대 이런 커뮤니티 여성유저,1,0
11064,버려진 우편투표 용지 9장 발견7장은 트럼프 지지 httpswwwsedailycomNewsVIew1Z7ZR7ZOAH 우편투표 자체가 존나 허술하다는 증거 ㄷㄷㄷㄷ 심지어 안그래도 허술한데 본투표 몇달전부터 시작했더라 ㅋㅋㅋㅋ 투표용지 제대로 관리가 되겠냐 ㅋㅋㅋㅋㅋ,0,1
11067,ㅋㅋㅋㅋㅋㅋㅋㅋ 니 말 맞다 ㅋㅋㅋㅋㅋㅋㅋㅋ그래서 현직 경찰 소방들은 알지만 쉬쉬함 ㅋ아니 상식적으로 ㅋㅋㅋ 연금을 65세에 받는데 그전에 뒤져불면 조빤다고 그 일 하겠냐 ㅋㅋㅋㅋㅋㅋㅋㅋ그런식으로 통계내면 이나라 인구의 평균수명이 40대언저리일거다 ㅋ,0,1
11071,비판이 아니라 비난 악플 욕짓거리 다는 사람들 니들으 죽인거다,0,1
11105,재앙이가 받은 재난 지원금 60만원 기부하고생색낸거에 대해선 어떻게 생각하냐,0,1
11123,ㅋㅋㅋㅋㅋㅋㅋㅋ ㅅㅂㅋㅋㅋ,1,0
11124,으이구 인간아 그렇다고 꼭 그런 극단적인 선택을해야 모든게 해결 될거 같았냐 잘못을 저질렀으면 인정하고 벌을 받으면 되는거지참 사람 목숨 한낱 종이장 같다 삼가고인의 명복을 빕니다,0,1
11125,첫 번째는 사망 원인이 허혈성 뇌손상이 아니라 장 협착 수술 과정에서 심장을 감싼 심낭의 막이 훼손되어 생긴 천공구멍에 의한 패혈증이라는 것이새끼 개씹 난독증이네 ㅋㅋㅋ 컨트롤f로 장협착만 검색해도 나오는걸 ㅅㅂㅋㅋㅋ 이거하나 못찾는 개눈까리 수준ㅋㅋㅋㅋ일상생활 가능하냐ㅋㅋㅋ,1,0
11126,전에는 월터미베인인가 하는 개듣보 사탕수수농장 깜둥이가 뭐라하더니 이번엔 또 뭐노,1,0
11128,httpswwwgooglecomampswwwchosuncominternationalus20201108FV2YBV4L7ZHVHD2G3CF2HR6W4E3foutputTypeamp좆럼프는 끝났어이미 레임덕상태고조만간 추하게 도망칠텐데 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,1,0
11139,ㅇㅂ는 별에별놈들이ㅡ다있노,0,1
11140,아지매 두뇌 종범,0,1
11145,라디오헤드충 ㅈㅎ,0,1
11148,추모할 사람 고수민 이광용 김재민 김재진 고영석 김호중 고수민께 고유나가 알려주는 당신 성기습관 김기태가 귀두예술을 보여주니 퍼즕처럼 맞춰봐라 어떤 사람을 보고 연유로 대답하는지 어떻게 근육많이 모여 김기성 김민성 성기가 학교에서 노출되어서 좋냐 아니요 하지마른니야 라고 김기태는 답장하네,0,1
11204,7시 변태들 ㅋㅋㅋ,0,1
11207,홍진영 아버지가 이명박 지지자,0,1
11211,헬스장에서 사건이 일어날것만 같아,1,0
11222,문재앙 배후에는 짱개들이 있다 이엇부터 어떻게즌 이슈화 하고 조져야 됨,0,1
11231,상속거부 하기 전에 많이 빼돌려서 노 걱정,0,1
11251,잘 아네 ㅋㅋ흥분 포인트는 남의것금기금단그리고 장소 막말로 돈 5만 짜리 여관 바리 가서 대놓고 할래5만 짜리 퇴폐시 퇴실 처리 건마 가서 몰래 할래섹스 하는 느낌이 확실히 달라,0,1
11255,저 당시때 존나 쫄아서 밤에 웬만하면 안나갔다cctv가 깔려있는 동네지만서도,1,0
11279,보여주기식 탁상행정예전에 공중전화 부스서 살인 나던꼴 보게 생겼네,1,0
11285,개미로 돌아가자,1,0
11287,센틈이랑 마린 주제도 모르고 물가 ㅈㄴ 비싸지,0,1
11290,민주당이 저런식으로 정권잡고 막상 지들은 중국 공산당원처럼 지가 필요하면 법도 바꾸고 존나 막장으로 행동하잖음ㅎㅎ,0,1
11298,예전 행복전도사 아주매미 생각나는 사건이다 이기,0,1
11301,살스 개꼴 품번,0,1
11317,1 중국의 연호 사용을 중단하고 개국기년으로 변경2 궁내부와 의정부의 분리3 6조 이조 호조 예조 병조 형조 공조 를 8아문 내무 외무 탁지재무 군무 법무 학무 공무 농상무 으로 편성4 과거제 폐지5 봉건적 신분제의 폐지6 노비 백정의 폐지,1,0
11329,그래도 이슬람이 유일하게 공산당과 싸우는 마지막 전사들임한국도 공산화 대비해서 미리미리 이슬람 난민들 들여와야 한다고 본다이미 통일 된 국가라면 몰라도 언제 적화될지 모르고 중국속국 될지 모르는 나라인데패배주의와 노예마인드가 dna에 박힌 조선인들이 막상 최후가 되면 싸울리가 없다이슬람이라도 들여와서 최후의 보루를 만들어야지,0,1
11350,마넌 오처넌,1,0
11354,왕충요프로 구라꾼특기 박쥐대가리 요리 둘러대기 핑계대기세상이 무너져도 못하는것인증영어중공비난제일 싫어하는것 팩폭Trick ass bitch Claims to be an Anerican but cant speak a word of Engilsh Tsung Yeo Wang a Trump hating Biden loving Chinese 2 dollar hoHahahahahahahaahahahahahahahahaHahahahaahanahahHahahaahahahajaHahahahahaha,0,1
11362,저기요우리나라 여자들 90가 몰카를 할 가치가 있다고 씨부린거냐 지금 돌았어,0,1
11363,더 이상 욕먹지 않기 위해 제 댓글 제발 읽어주세요 언니 아내의맛 초반에 인기 많았고 사람들도 재미있어 했던 거 기억하세요 그런데 어느 순간부터 방송은 불화와 자극적인 부분만 내보내고 기자들은 좋다고 바로 기사 쓰니까 언니 이미지 망가지는 게 너무 마음 아파요 언니 아내의맛 초반처럼 제발 행복한 모습만 나오게 해달라고 제작진이랑 이야기해봐요 만약 방송 재미를 위해 자극적인 게 필요하다고 제작진이 그러면 그런 사람은 인연 끊는 게 맞는 거라고 생각해요 언니 항상 행복하세요,0,1
11370,노가다김씨새기가httpswwwilbecomview11263058041subbest,0,1
11395,판사님 그어데 판씹니꺼,1,0
11396,진짜 돌아이같음 문재인 당신 루저,0,1
11407,재앙이랑 판박이둘이 정상회담 하면 치매 정상회담에둘이 회담 끝나서도 뭔 얘기 했는지도 모를 듯,0,1
11415,오히려 일게이들이 질싸는 안 하지않을까,0,1
11435,지르는 락이싫으면 락발라드는 어떻노 딥 퍼플 soldier of fortune 들어봐라 개씹명곡미안하다 락덕후 티내서아 내가 락덕후다,1,0
11443,ㄱㅊ음 여성은 신체적으로나 정신적으로나 열등하니까 그래서 군대도 안가는거 아님ㅔ,0,1
11450,119 꽁짜 아니다사체일 경우 병원도착당시 사망일경우 비용 받는다일부러 돈 받을려고 늦장출동하는지도 몰라동생놈도 십년전 아비 뒤질때 돈 냈다고했었음,0,1
11452,그러게 로건이 특별히 나댄 적도 없고 사회적 물의를 일으킬만한 행동을 한 적도 없음몸캠도 당하는게 좀 바보같긴 하지만 어디까지나 피해자일뿐이잖아근데 뭘 그리 잘못했다고 저런걸 세상에 대놓고 뿌리냐존나 불쌍하네,1,0
11454,무슨 애미없는소리야 이건또,0,1
11471,봐바 지금 너 말투보면 되게 저열한 신격화가 문득문득 보임,0,1
11524,함든일은 하기싫고,1,0
11527,진짜 존나 친한 친구끼리면 그냥 장난으로 넘어가겠는데 만난지 2주됐고 친구도 아닌 회사에서 만난건데 왜그러냐 ㅋㅋ,0,1
11537,눈 각도가 전북 홍어 출신일듯,0,1
11555,6번 그냥 적당히 즐겨라사장이 너네 찐따인 거 간파하고 속으로 놀려먹으려는 게 아니라많이 팔아주면서도 매너 깔끔한 단골이라고 챙겨주는거다어차피 그렇다고 서로 그 이상 친해질 일 없는 거 피차 아니까찰나의 인간 냄새를 즐겨,0,1
11562,경상도 대구 씹거렁뱅이 촌동네 반지하방에서 작성된 글,1,0
11563,하여튼 남자는 보지를 조심해야돼,0,1
11568,나 씹 개예민보슨데 니도 그럴듯,1,0
11570,익명 대한민국 방방곡곡에서 일어나는 사건사고 자료가 뉴스보다 더 빨리 짤개에 올라옴 ㅋㅋㅋ미친 일베 ㅋㅋㅋㅋㅋㅋㅋ,0,1
11577,Ha5년 뒤한 달 조진다,0,1
